NUMERO_POLICE,DATE_EFFET_DT,DATE_EXPIRATION_DT,ANNEE,TYPE,WILAYA_CODE,WILAYA,COMMUNE_CODE,COMMUNE,CAPITAL_ASSURE,PRIME_NETTE,ZONE_RPA,ZONE_SCORE,PML_RATE,PML_EXPOSE
19310003240105,,,,Bien Immobilier,19,SETIF,1182,SETIF,21000000.0,13650.0,Zone IIa,2.0,0.12,2520000.0
34301003241267,,,,Installation Commerciale,34,B.B ARRERIDJ,376,EL HAMMADIA,3000000.0,2500.0,Zone IIa,2.0,0.12,360000.0
16336003240173,,,,Bien Immobilier,51,OULED DJELLAL,154,ZERALDA,4712000.0,3534.0,,,,
9306003240178,,,,Installation Commerciale,9,BLIDA,360,OULED YAICH BLIDA,1000000.0,2500.0,Zone III,4.0,0.3,300000.0
25216003240207,,,,Installation Commerciale,25,CONSTANTINE,515,EL KHROUB,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
16323003240149,,,,Bien Immobilier,16,ALGER,136,KOUBA,2864440.0,2148.33,Zone III,4.0,0.3,859332.0
23302013240051,,,,Bien Immobilier,23,ANNABA,156,ANNABA,2000000.0,1500.0,Zone IIa,2.0,0.12,240000.0
6211003240007,,,,Bien Immobilier,6,BEJAIA,283,OUED GHIR,2790000.0,1813.5,Zone IIa,2.0,0.12,334800.0
34301003240697,,,,Bien Immobilier,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,3850000.0,2502.5,Zone IIa,2.0,0.12,462000.0
18301003241111,,,,Bien Immobilier,18,JIJEL,710,TAHER,4061000.0,2639.65,Zone IIa,2.0,0.12,487320.0
16301003240613,,,,Installation Commerciale,16,ALGER,111,BIRTOUTA,6500000.0,3250.0,Zone III,4.0,0.3,1950000.0
16309023240018,,,,Bien Immobilier,16,ALGER,97,AIN BENIAN (ALGER),2763740.0,2487.37,Zone III,4.0,0.3,829122.0
16331003240144,,,,Bien Immobilier,16,ALGER,114,BORDJ EL KIFFAN,4585080.0,3438.81,Zone III,4.0,0.3,1375524.0
11301003240634,,,,Bien Immobilier,11,TAMENRASSET,1315,TAMANRASSET,4788000.0,3160.08,Zone 0,0.0,0.01,47880.0
15302003240257,,,,Bien Immobilier,15,TIZI OUZOU,1459,AZAZGA,4550000.0,2957.5,Zone IIa,2.0,0.12,546000.0
15302003240410,,,,Bien Immobilier,15,TIZI OUZOU,1459,AZAZGA,8051050.0,5233.18,Zone IIa,2.0,0.12,966126.0
19308003240934,,,,Bien Immobilier,19,SETIF,1158,EL EULMA,2275000.0,1500.0,Zone IIa,2.0,0.12,273000.0
28303003240046,,,,Installation Commerciale,28,M SILA,972,SIDI AISSA,4500000.0,2500.0,Zone I,1.0,0.05,225000.0
25306003240158,,,,Bien Immobilier,12,TEBESSA,1344,TEBESSA,2469460.0,1800.0,Zone I,1.0,0.05,123473.0
28305003240291,,,,Bien Immobilier,28,M SILA,962,MSILA,2059750.0,1500.0,Zone IIa,2.0,0.12,247170.0
