rank_in_wilaya,WILAYA,COMMUNE,ZONE_RPA,nb_polices,capital_B,pml_B,prime_M
124,ALGER,AKABILI,Zone III,1,0.004,0.001,0.0
125,ALGER,CHERAIA,Zone III,1,0.004,0.001,0.0
126,ALGER,BOUHAROUN,Zone III,2,0.004,0.001,0.0
127,ALGER,ZEDDINE,Zone III,1,0.004,0.001,0.0
128,ALGER,EL KHROUB,Zone III,2,0.004,0.001,0.0
27,BLIDA,SIDI AISSA,Zone III,2,0.004,0.001,0.0
40,BOUMERDES,HARAOUA,Zone III,1,0.004,0.001,0.0
28,BLIDA,CHREA,Zone III,1,0.004,0.001,0.0
38,TIPAZA,DELY BRAHIM,Zone III,1,0.004,0.001,0.0
39,TIPAZA,NADORAH,Zone III,1,0.003,0.001,0.0
41,BOUMERDES,BORDJ EL BAHRI,Zone III,1,0.003,0.001,0.0
26,AIN DEFLA,DHAYA,Zone III,1,0.003,0.001,0.0
2,RELIZANE,DJIDIOUIA,Zone IIb,1,0.003,0.001,0.0
40,TIPAZA,AIN NAGA,Zone III,1,0.003,0.001,0.0
129,ALGER,CHAIBA,Zone III,1,0.003,0.001,0.0
41,TIPAZA,EL KARIMIA,Zone III,1,0.003,0.001,0.0
42,TIPAZA,KHEMIS MILIANA,Zone III,1,0.003,0.001,0.0
43,TIPAZA,BERROUAGHIA,Zone III,1,0.003,0.001,0.0
18,CHLEF,BOUZEGHAIA,Zone III,1,0.003,0.001,0.0
130,ALGER,CORSO,Zone III,1,0.003,0.001,0.0
131,ALGER,LAGHOUAT,Zone III,1,0.003,0.001,0.0
19,CHLEF,ZEBOUDJA,Zone III,2,0.003,0.001,0.0
20,CHLEF,AIN-DEFLA,Zone III,1,0.003,0.001,0.0
132,ALGER,ZEMMOURI,Zone III,1,0.003,0.001,0.0
29,BLIDA,LES EUCALYPTUS,Zone III,1,0.003,0.001,0.0
30,BLIDA,DRARIA,Zone III,1,0.003,0.001,0.0
31,BLIDA,DOUERA,Zone III,1,0.003,0.001,0.0
44,TIPAZA,STAOUELI,Zone III,2,0.003,0.001,0.0
32,BLIDA,ALGER,Zone III,1,0.003,0.001,0.0
33,BLIDA,HAMMEDI,Zone III,2,0.002,0.001,0.0
45,TIPAZA,TELAGHMA,Zone III,1,0.002,0.001,0.0
46,TIPAZA,CHELGHOUM LAID,Zone III,1,0.002,0.001,0.0
133,ALGER,AZAZGA,Zone III,1,0.002,0.0,0.0
134,ALGER,ANNABA,Zone III,1,0.002,0.001,0.0
34,BLIDA,KOLEA,Zone III,1,0.002,0.001,0.0
42,BOUMERDES,BORDJ BOU ARRERIDJ,Zone III,1,0.002,0.001,0.0
43,BOUMERDES,BELIMOUR,Zone III,1,0.002,0.001,0.0
35,BLIDA,LARBATACHE,Zone III,1,0.002,0.001,0.0
44,BOUMERDES,OULED BRAHEM,Zone III,1,0.002,0.001,0.0
27,AIN DEFLA,CHLEF,Zone III,1,0.002,0.001,0.0
135,ALGER,DAR CHIOUKH,Zone III,1,0.002,0.001,0.0
47,TIPAZA,BOUDOUAOU,Zone III,1,0.002,0.001,0.0
21,CHLEF,ABOU EL HASSEN,Zone III,1,0.002,0.001,0.0
28,AIN DEFLA,BENI HAOUA,Zone III,1,0.002,0.001,0.0
29,AIN DEFLA,ADRAR,Zone III,1,0.002,0.001,0.0
136,ALGER,AIN EL MELH,Zone III,2,0.002,0.001,0.0
137,ALGER,AIN LAGRADJ,Zone III,1,0.002,0.001,0.0
22,CHLEF,SENDJAS,Zone IIb,2,0.002,0.0,0.0
23,CHLEF,OUM DROU,Zone III,3,0.002,0.001,0.0
138,ALGER,TADJENANET,Zone III,1,0.002,0.001,0.0
139,ALGER,BOUGARA BLIDA,Zone III,2,0.002,0.001,0.0
36,BLIDA,BARAKI,Zone III,2,0.002,0.001,0.0
37,BLIDA,BIRTOUTA,Zone III,2,0.002,0.0,0.0
140,ALGER,ROUINA,Zone III,1,0.002,0.001,0.0
38,BLIDA,AIN ROMANA,Zone IIb,1,0.002,0.0,0.0
141,ALGER,SKIKDA,Zone III,1,0.002,0.001,0.0
39,BLIDA,INCONNU,Zone III,1,0.001,0.0,0.0
30,AIN DEFLA,DJEMAA OULED CHEIKH,Zone III,1,0.001,0.0,0.0
45,BOUMERDES,INCONNU,Zone III,1,0.001,0.0,0.0
40,BLIDA,HAMMAM MELOUANE,Zone IIb,1,0.001,0.0,0.0
41,BLIDA,DELY BRAHIM,Zone III,1,0.001,0.0,0.0
42,BLIDA,SIDI GHILES,Zone III,1,0.001,0.0,0.0
43,BLIDA,MEURAD,Zone III,1,0.001,0.0,0.0
24,CHLEF,OUED RHIOU,Zone III,1,0.001,0.0,0.0
25,CHLEF,DAHRA,Zone III,1,0.001,0.0,0.0
26,CHLEF,BENAIRIA,Zone III,1,0.001,0.0,0.0
142,ALGER,SIDI AHMED,Zone III,1,0.001,0.0,0.0
143,ALGER,MILA,Zone III,1,0.001,0.0,0.0
2,MEDEA,EL HAMDANIA,Zone IIb,1,0.001,0.0,0.0
144,ALGER,SIDI LAKHDAR AIN DEFLA,Zone III,1,0.001,0.0,0.0
27,CHLEF,TIMOKTEN,Zone III,1,0.001,0.0,0.0
48,TIPAZA,AIN BENIAN (AIN DEFLA),Zone III,1,0.001,0.0,0.0
49,TIPAZA,BORDJ BADJI MOKHTAR,Zone III,1,0.001,0.0,0.0
145,ALGER,AIN TEDLES,Zone III,1,0.001,0.0,0.0
146,ALGER,BARBACHA,Zone III,1,0.001,0.0,0.0
